FOR,AGAINST,TOTAL CASTE,DEPENDENT VARIABLE,BALLOT TYPE,POPULATION,PCI,MEDIUM FAMILY INCOME,SIZE OF COUNTY,POPULATION DENSITY,PERCENT WHITE,PERCENT BLACK,PERCENT OTHER,PERCENT MALE,PERCENT FEMALE,NO OF CHURCHES,NO OF CHURCH MEMBERS,PERCENT CHURCH MEMBERS OF POPULATION,POVERTY LEVEL,UNEMPLOYMENT RATE,AGE LESS THAN 18,AGE24,AGE44,AGE64,AGE OLDER THAN 65,MSA,PERCENT MINORITY,NO OF OLDER,NO OF YOUNGER,AGE_SUM,TURNOUT_RATE,FOR_RATE
27154,35660,62814,0,2,132520,20678.0,34398,809.2,163.7666831,0.966007674,0.007196018,0.026796308,0.482364362,0.517635638,141,42316.0,0.34,9.2,2.4,35639,14508,44914,22477,14982,1,0.033992326,37459,89828,132520,0.47399637790522187,0.4322921641672239
1225,1853,3078,0,2,6697,16896.0,29113,519.7,12.88628055,0.910231516,0.001344287,0.088424197,0.504107543,0.495892457,20,2452.0,0.38,12.3,5.6,2106,408,1811,1221,1151,2,0.089768484,2372,3622,6697,0.459608780050769,0.39798570500324887
10808,26450,37258,0,2,84660,17633.0,30555,2776.4,30.49272439,0.8755177398755177,0.017822063017822062,0.1066601971066602,0.495503065,0.504496935,90,19917.0,0.24,14.8,3.2,25121,8837,27794,14280,8628,1,0.12448226,22908,55588,84660,0.44008977084809825,0.29008535079714426
673,1278,1951,0,2,3769,16841.0,25117,2871.8,1.312417299,0.978497478,0.001858243,0.019644279,0.500663658,0.499336342,26,1752.0,0.45,12.5,2.4,978,166,1036,769,820,2,0.021502522,1589,2072,3769,0.5176439373839214,0.34495130702203997
550,1192,1742,0,2,3093,18641.0,27993,866.5,3.569532602,0.98835705,0.0,0.01164295,0.488680466,0.511319534,13,969.0,0.3,12.0,4.1,844,137,755,651,706,2,0.01164295,1357,1510,3093,0.5632072421597155,0.3157290470723307
1373,2669,4042,0,2,9655,13749.0,21830,1101.3,8.766911831,0.760716504,0.0,0.239283496,0.502484987,0.497515013,41,4451.0,0.45,23.5,5.3,2991,631,2340,1908,1785,2,0.239283496,3693,4680,9655,0.4186431900569653,0.33968332508659077
525,1041,1566,0,2,2786,16226.0,25111,569.0,4.896309315,0.990664273,0.001077199,0.008258528,0.510951526,0.489048474,14,802.0,0.28,14.3,2.6,804,141,714,581,546,2,0.009335726999999999,1127,1428,2786,0.5620961952620244,0.33524904214559387
495,1088,1583,0,2,10531,8694.14,13651,2094.0,5.02913085,0.05147198494852801,0.001329534998670465,0.9471984800528015,0.501899335,0.498100665,41,1279.0,0.13,49.9,14.6,4966,1166,2489,1382,528,2,0.948528016,1910,4978,10531,0.15031810844174343,0.31269740998104867
1451,2599,4050,0,2,7870,19109.0,25578,1504.0,5.232712766,0.9883085520116915,0.000254161999745838,0.011437285988562714,0.485703393,0.514296607,34,3012.0,0.38,14.8,2.9,2147,483,2166,1606,1468,2,0.011691448,3074,4332,7870,0.5146124523506989,0.3582716049382716
393,983,1376,0,2,2478,14019.0,30059,1443.4,1.716779825,0.9273314499273314,0.000403714000403714,0.07226483607226483,0.500605571,0.499394429,4,189.0,0.08,11.0,3.5,794,166,724,525,269,2,0.07266855,794,1448,2478,0.5552865213882163,0.2856104651162791
343,653,996,0,2,1546,26486.0,31497,1007.0,1.535253227,0.988372093,0.0,0.011627907,0.510981912,0.489018088,7,617.0,0.39,8.4,3.3,436,95,430,355,230,2,0.011627907,585,860,1546,0.6442432082794308,0.34437751004016065
483,1107,1590,0,2,8644,8694.14,16497,1388.2,6.226768477,0.166917293,0.001850781,0.831231926,0.496356275,0.503643725,21,568.0,0.07,44.5,8.4,4039,832,2192,1092,489,2,0.833082707,1581,4384,8644,0.1839426191577973,0.30377358490566037
995,2311,3306,0,2,6896,15321.0,24616,1613.6,4.273673773,0.896636706,0.0,0.103363294,0.498115396,0.501884604,26,1933.0,0.28,19.9,2.9,2116,421,1808,1353,1198,2,0.103363294,2551,3616,6896,0.47940835266821347,0.30096793708408953
1999,2233,4232,0,2,8546,17614.0,26622,616.9,13.85313665,0.993798268,0.000585069,0.005616663,0.489000702,0.510999298,43,5542.0,0.65,12.1,2.9,2305,410,2179,1726,1926,2,0.006201732,3652,4358,8546,0.4952024338871987,0.47235349716446123
1692,3205,4897,0,2,10434,19958.0,29271,460.4,22.66290182,0.9840874230000001,0.0022047550000000005,0.013707822000000001,0.49482362,0.50517638,26,3759.0,0.37,11.3,4.1,3069,658,2986,1982,1739,2,0.015912577,3721,5972,10434,0.4693310331608204,0.3455176638758424
974,1867,2841,0,2,5804,16699.0,25025,707.8,8.200056513,0.913522825,0.000689061,0.085788114,0.481309216,0.518690784,24,3060.0,0.5,17.3,2.9,1537,314,1440,1334,1179,2,0.086477175,2513,2880,5804,0.4894900068917988,0.3428370292150651
2989,6188,9177,0,2,20127,17352.0,27877,521.6,38.58703988,0.961306835,0.007126368,0.031566797,0.492120847,0.507879153,32,5378.0,0.28,12.6,1.9,5305,2009,6122,3759,2932,2,0.038693165,6691,12244,20127,0.4559546877328961,0.32570556826849734
215,513,728,0,2,2122,9142.0,18948,1962.5,1.081273885,0.351083883,0.002827521,0.646088596,0.498586239,0.501413761,15,327.0,0.15,41.7,6.1,933,154,525,345,165,2,0.6489161170000001,510,1050,2122,0.34307257304429783,0.29532967032967034
265,774,1039,0,1,3039,14904.0,22983,708.2,4.291160689,0.988808427,0.0,0.011191573,0.508229098,0.491770902,14,1244.0,0.4,12.9,4.0,885,147,730,632,645,2,0.011191573,1277,1460,3039,0.34188877920368543,0.2550529355149182
2360,2753,5113,0,1,17937,18832.0,28328,1259.4,14.24249643,0.978753067,0.004294,0.016952933,0.488233326,0.511766674,45,7494.0,0.41,12.5,3.0,4793,1259,5004,3549,3332,2,0.021246933,6881,10008,17937,0.2850532419022133,0.4615685507529826
225,234,459,0,1,3160,13685.0,20003,1185.4,2.66576683,0.526249209,0.002213789,0.471537002,0.486084756,0.513915244,13,458.0,0.14,33.4,5.3,1173,240,811,557,379,2,0.473750791,936,1622,3160,0.14525316455696202,0.49019607843137253
821,886,1707,0,1,3088,13892.0,23483,708.2,4.360350184,0.988464074,0.0,0.011535926,0.507580751,0.492419249,14,1244.0,0.4,13.9,4.0,871,147,722,642,652,2,0.011535926,1294,1444,3034,0.5527849740932642,0.48096074985354426
4556,3789,8345,1,1,18117,19102.0,29700,1259.4,14.38542163,0.9780743040000001,0.004097226000000001,0.017828470000000003,0.487846742,0.512153258,45,7494.0,0.41,10.8,2.7,4768,1279,5018,3653,3347,2,0.021925695999999998,7000,10036,18065,0.46061709996136224,0.5459556620730976
812,416,1228,1,1,3338,13235.0,21458,1185.4,2.815927113,0.526507119,0.003635262,0.469857619,0.490457437,0.509542563,13,458.0,0.14,36.2,5.2,1240,257,839,588,376,2,0.473492881,964,1678,3300,0.3678849610545237,0.6612377850162866
1826,1576,3402,1,1,7546,13991.0,25368,563.4,13.39368122,0.9614671049614671,0.003425146003425146,0.03510774903510775,0.510204082,0.489795918,26,2988.0,0.42,13.9,2.5,1791,581,2127,1405,1543,2,0.038532895,2948,4254,7447,0.45083487940630795,0.5367430922986478
4941,5541,10482,0,1,26322,17488.0,31240,794.5,33.13027061,0.9724306000275693,0.0036556109963443886,0.02391378897608621,0.511366665,0.488633335,44,9106.0,0.36,11.7,1.9,6051,6309,6932,3914,3050,2,0.0275694,6964,13864,26256,0.3982220196033736,0.4713795077275329
7263,9016,16279,0,1,35807,21115.0,32883,1712.8,20.9055348,0.9621104329621104,0.0014787530014787529,0.03641081403641081,0.479534611,0.520465389,67,14375.0,0.4,10.1,2.3,9129,4123,10297,6718,5580,2,0.037889567,12298,20594,35847,0.4546317759097383,0.44615762638982737
1267,1242,2509,1,1,5549,15538.0,29321,819.0,6.775335775,0.925674468,0.001072003,0.073253529,0.500089334,0.499910666,18,1930.0,0.35,14.0,3.8,1809,321,1454,1070,943,2,0.074325532,2013,2908,5597,0.45215354117859075,0.5049820645675568
232,232,464,0,1,1822,10470.0,18377,470.6,3.871653209,0.236916151,0.001125492,0.761958357,0.523916714,0.476083286,6,111.0,0.06,40.8,11.8,816,161,415,262,123,2,0.763083849,385,830,1777,0.25466520307354557,0.5
2204,1213,3417,1,1,8961,14393.0,27422,2248.6,3.985146313,0.9484501350000001,0.0031446540000000006,0.048405211000000004,0.498203055,0.501796945,17,1593.0,0.2,16.5,4.1,2628,573,2578,1825,1305,2,0.051549865,3130,5156,8909,0.38131904921325743,0.6450102429031314
481,607,1088,0,1,1899,14314.0,21419,735.8,2.580864365,0.960575386,0.019712307,0.019712307,0.502397443,0.497602557,12,1059.0,0.54,14.8,3.6,441,83,437,443,473,2,0.039424614,916,874,1877,0.5729331226961558,0.4420955882352941
2183,1604,3787,1,1,9418,16250.0,24363,1098.3,8.575070564,0.773313279,0.000644607,0.226042114,0.490330898,0.509669102,37,2630.0,0.29,23.4,3.9,3028,556,2218,1869,1641,2,0.22668672099999998,3510,4436,9312,0.40210235718836274,0.5764457354106153
1176,1049,2225,1,1,4382,14996.0,24129,958.0,4.574112735,0.993123997993124,0.0011460000011460003,0.005730002005730002,0.503094201,0.496905799,28,2299.0,0.52,14.2,4.0,1225,210,1056,934,939,2,0.006876002,1873,2112,4364,0.5077590141487905,0.5285393258426966
